
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071622072500_s.jpg.txt	[Extension: .jpg]	[Size: 275070 bytes]	[Last modification: 2020-07-16 20:07:25]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071622222900_s.jpg.txt	[Extension: .jpg]	[Size: 270135 bytes]	[Last modification: 2020-07-16 20:22:29]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071622274600_s.jpg.txt	[Extension: .jpg]	[Size: 272186 bytes]	[Last modification: 2020-07-16 20:27:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071622421000_s.jpg.txt	[Extension: .jpg]	[Size: 325139 bytes]	[Last modification: 2020-07-16 20:42:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071622572900_s.jpg.txt	[Extension: .jpg]	[Size: 298344 bytes]	[Last modification: 2020-07-16 20:57:29]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071622584600_s.jpg.txt	[Extension: .jpg]	[Size: 325697 bytes]	[Last modification: 2020-07-16 20:58:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071700012500_s.jpg.txt	[Extension: .jpg]	[Size: 449124 bytes]	[Last modification: 2020-07-16 22:01:25]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071700032600_s.jpg.txt	[Extension: .jpg]	[Size: 431330 bytes]	[Last modification: 2020-07-16 22:03:26]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071700113900_s.jpg.txt	[Extension: .jpg]	[Size: 287918 bytes]	[Last modification: 2020-07-16 22:11:39]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071700182100_s.jpg.txt	[Extension: .jpg]	[Size: 282082 bytes]	[Last modification: 2020-07-16 22:18:21]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819160700_s.jpg.txt	[Extension: .jpg]	[Size: 248915 bytes]	[Last modification: 2020-07-18 17:16:07]
